name,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30
anon1,5,3,5,3,0,3,3,4,4,2,0,5,3,2,0,2,0,2,4,1,"The professor barely covers the material, leaving students confused and frustrated.","The course lacks structure, with the professor jumping between topics haphazardly.","The professor shows little enthusiasm for the subject, making lectures dull and uninspiring.","The professor's grading criteria are unclear, leading to inconsistent evaluation.","The professor's teaching methods are ineffective, resulting in low retention of information.","Course lectures are disorganized, making it difficult to follow along.","The professor's explanations are overly complex, leaving students feeling lost.","The professor's quizzes and exams are excessively challenging, causing anxiety.","The professor frequently cancels office hours, making it challenging to seek help.","Course readings are dense and uninteresting, discouraging students from completing them."
anon2,5,2,3,0,3,3,4,4,2,5,5,2,5,0,4,3,5,1,5,2,Students dread attending the professor's lectures due to their monotone delivery.,The professor is frequently late to class and often cancels without notice.,"Course materials are outdated, and the professor fails to incorporate modern advancements.",The professor frequently goes off on tangents unrelated to the course material.,Students find it challenging to reach the professor outside of class for clarification.,The professor lacks empathy towards students' struggles and challenges.,"Students feel unsupported by the professor, especially during difficult topics.","The professor favors certain students, creating a sense of unfairness in the class.",The professor's assignments are irrelevant to real-world applications.,"The professor fails to address students' misconceptions, leading to persistent confusion."
anon3,2,5,1,0,0,3,4,1,1,1,1,1,5,3,4,0,5,3,0,2,"The professor rarely provides feedback on assignments, leaving students in the dark about their progress.","Students struggle to understand the professor's thick accent, hindering comprehension.","The professor assigns excessive homework, leaving students overwhelmed and stressed.","Despite students' questions, the professor dismisses them with condescension.","The professor fails to create an inclusive learning environment, alienating certain students.","The professor's slides are cluttered and difficult to read, causing confusion.","The professor assigns group projects without providing guidelines, leading to conflict among students.",Students find it difficult to engage with the material due to the professor's monotone voice.,"The professor lacks enthusiasm for the subject, which impacts students' motivation.",The professor rarely incorporates multimedia or interactive elements into lectures.
anon4,2,3,0,4,0,4,0,0,2,5,4,3,5,2,3,4,4,5,1,1,"Ö?renciler, profesörün tav?rlar?ndan çekinirler ve derse kat?l?m? engeller. ","Profesör, ö?rencilerin çe?itli ö?renme ihtiyaçlar?na ve tercihlerine uyum sa?layamaz. ","Profesörün dersleri net hedeflerden yoksun, bu da ö?renme ilerlemesini ölçmeyi zorla?t?r?r. ",Ders ödevleri yarat?c? de?il ve ö?rencileri entelektüel olarak zorlamaz. ,"Profesör, ö?rencilerin sorular?yla ilgilenmez ve onlar? önemsiz olarak reddeder. ","Profesör, i?birli?ine dayal? bir ö?renme ortam? olu?turamaz ve ö?renci etkile?imini engeller. ",Profesörün konuya olan ilgisizli?i ö?renci motivasyonunu olumsuz etkiler. ,"Profesörün ders d???nda eri?ilebilir olmamas?, ö?rencilerin yard?m arama yetene?ini engeller. ","Profesör, ö?rencilerin farkl? ö?renme stillerini dikkate almaz ve bu da ö?renme sürecini olumsuz etkiler.","Ö?renciler, profesörün derslerinin dikkatsizlikle dolu oldu?unu ve bu nedenle materyali anlamada zorland?klar?n? söylerler."
anon5,2,2,0,4,5,2,1,0,2,3,1,2,3,2,5,2,4,2,1,2,Profesörün ö?retim tarz? eski moda ve modern ö?rencileri etkilemiyor. ,"Profesör, s?k s?k son dakikada dersi iptal eder ve ö?rencilerin programlar?n? bozar. ","Ö?renciler, profesörün ders d???nda eri?ilebilir olmamas?ndan destek alamazlar. ",Profesörün ö?retim yöntemleri farkl? ö?renme tarzlar?na uymaz. ,"Profesörün dersleri gerçek dünya örneklerinden yoksun, materyali soyut gösterir. ",Ders materyalleri eski ve güncel geli?meleri yans?tmaz. ,Profesörün ö?retim tarz? ö?rencilerin dikkatini çekemez ve sonuç olarak ilgisizlik olur. ,"Ö?renciler, profesörün konuya olan tutkusundan etkilenir ve motive olur, bu da ö?renme deneyimini art?r?r.","Ders materyalleri, konuyu anlamay? zorla?t?racak ?ekilde karma??kt?r ve ö?rencileri kafa kar???kl???na sürükler.","Profesör, ö?rencilere gereken özeni göstermez ve bu da s?n?f içinde motivasyonu azalt?r."
anon6,5,2,1,1,0,5,2,3,2,4,2,1,2,5,3,2,4,5,3,4,"Profesör, ödevlerle ilgili zaman?nda geri bildirim sa?layamaz ve ö?renme ilerlemesini geciktirir. ","Ders materyalleri düzensiz ve gezinmesi zor, bu da frustrasyona neden olur. ",Profesörün notland?rma ölçütleri keyfi ve tutars?zd?r. ,"Profesör s?kl?kla haz?rl?ks?z gelir, bu da ö?renme deneyimini olumsuz etkiler. ","Ö?renciler, profesörün monoton derslerinde uyan?k kalmakta zorlan?r. ","Profesör, ö?rencilerin bireysel ö?renme ihtiyaçlar?n? tan?maz ve ele almaz. ","Ö?renciler, profesörün dikkat da??t?c? tav?rlar? nedeniyle s?n?fta odaklanmakta zorlan?rlar. ","Profesör, s?n?fta ö?rencilere gereken destek ve rehberlik sa?lamaz, bu da ö?renme deneyimini olumsuz etkiler.","Profesör, ders içinde ö?rencilerin aktif kat?l?m?n? te?vik etmez ve bu da s?n?f etkile?imini azalt?r.","Ö?renciler, profesörün derslerinin uygulamal? örneklerden yoksun oldu?unu ve bu nedenle konunun gerçek hayattaki önemini göremediklerini söylerler."
anon7,4,0,5,4,0,3,4,0,3,4,1,5,2,3,0,2,1,4,1,1,"Profesör, anlaml? ö?renme deneyimlerinden uzakla?t?ran a??r? derecede yo?un i? yükü verir. ","Profesör, konuyla ilgili güncel olaylar? veya endüstri trendlerini ele almaz. ","Profesör, s?n?fta bir topluluk hissi olu?turmay? ba?aramaz. ",Profesörün ödevlerle ilgili geri bildirimi belirsiz ve yard?mc? olmaz. ,"Profesör, teorik kavramlar? pratik uygulamalarla ba?lant? kuramaz. ","Profesörün dersleri yap?sal ve tutarl? de?ildir, bu da takip etmeyi zorla?t?r?r. ",Profesörün ödevleri belirsizdir ve ö?renciler aras?nda kar???kl??a neden olur. ,"Ö?renciler, profesörün derslerinin içeri?inin güncel olmamas?ndan dolay? geride kald?klar?n? hissederler.","Profesör, s?n?fta ö?rencileri desteklemek yerine onlar? ele?tirir, bu da özgüvenlerini zedeler.","Ö?renciler, profesörün ders materyallerini anlamakta zorland?klar? için derslerden kopma e?ilimindedirler."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
